"model" "t_stats" "p_value" "p_val_adjusted"
"mayavi:issue_post:member-mayavi:issue_reply:member" "3W: Types x Author Groups x Project" -3.17088611347799 0.00151974712513936 0.00232069493433443
"mayavi:issue_post:nonmember-mayavi:issue_reply:nonmember" "3W: Types x Author Groups x Project" -0.693047454414006 0.488279771499315 0.535685574557501
"mayavi:pr_post:member-mayavi:pr_reply:member" "3W: Types x Author Groups x Project" -10.6333962830545 0 0
"mayavi:pr_post:nonmember-mayavi:pr_reply:nonmember" "3W: Types x Author Groups x Project" -4.28431474479096 0.0000183303268304069 0.0000304606901740586
"mayavi:issue_post:member-mayavi:pr_post:member" "3W: Types x Author Groups x Project" -0.845580918856386 0.397786573827543 0.440685125906984
"mayavi:issue_post:nonmember-mayavi:pr_post:nonmember" "3W: Types x Author Groups x Project" 5.16577036800922 0.000000239450622885329 0.000000450965339767369
"mayavi:issue_reply:member-mayavi:pr_reply:member" "3W: Types x Author Groups x Project" -10.3866799391813 0 0
"mayavi:issue_reply:nonmember-mayavi:pr_reply:nonmember" "3W: Types x Author Groups x Project" 1.53592624586953 0.124556470255485 0.151342807944836
"pandas:issue_post:member-pandas:issue_post:nonmember" "3W: Types x Author Groups x Project" -10.8146971773847 0 0
"pandas:issue_reply:member-pandas:issue_reply:nonmember" "3W: Types x Author Groups x Project" -45.2274979410691 0 0
"pandas:pr_post:member-pandas:pr_post:nonmember" "3W: Types x Author Groups x Project" -2.99252418894342 0.002766807402659 0.00416865648667289
"pandas:pr_reply:member-pandas:pr_reply:nonmember" "3W: Types x Author Groups x Project" -19.5004868176858 0 0
"pandas:issue_post:member-pandas:issue_reply:member" "3W: Types x Author Groups x Project" -10.7730884633477 0 0
"pandas:issue_post:nonmember-pandas:issue_reply:nonmember" "3W: Types x Author Groups x Project" -25.312911872111 0 0
"pandas:pr_post:member-pandas:pr_reply:member" "3W: Types x Author Groups x Project" -33.5824988001209 0 0
"pandas:pr_post:nonmember-pandas:pr_reply:nonmember" "3W: Types x Author Groups x Project" -28.6542306219939 0 0
"pandas:issue_post:member-pandas:pr_post:member" "3W: Types x Author Groups x Project" 1.14846711965341 0.250775779148761 0.289159826977654
"pandas:issue_post:nonmember-pandas:pr_post:nonmember" "3W: Types x Author Groups x Project" 6.9307949246748 0.00000000000418487466902207 0.0000000000107475190363521
"pandas:issue_reply:member-pandas:pr_reply:member" "3W: Types x Author Groups x Project" -42.8682317854418 0 0
"pandas:issue_reply:nonmember-pandas:pr_reply:nonmember" "3W: Types x Author Groups x Project" -2.25516624112494 0.0241228960519511 0.0320692618102408
"scipy:issue_post:member-scipy:issue_post:nonmember" "3W: Types x Author Groups x Project" -7.19471661545651 0.000000000000625943741283663 0.0000000000016449219247687
"scipy:issue_reply:member-scipy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -22.6821274316505 0 0
"scipy:pr_post:member-scipy:pr_post:nonmember" "3W: Types x Author Groups x Project" -2.5861027247736 0.0097067996580984 0.013710854517064
"scipy:pr_reply:member-scipy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -2.33704024048098 0.0194370918094362 0.0268888913556069
"scipy:issue_post:member-scipy:issue_reply:member" "3W: Types x Author Groups x Project" -4.5079384550204 0.00000654605569083699 0.0000112076408040088
"scipy:issue_post:nonmember-scipy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -9.38757033267871 0 0
"scipy:pr_post:member-scipy:pr_reply:member" "3W: Types x Author Groups x Project" -24.4778838156136 0 0
"scipy:pr_post:nonmember-scipy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -16.3720569183908 0 0
"scipy:issue_post:member-scipy:pr_post:member" "3W: Types x Author Groups x Project" -0.316346360128926 0.751739626209787 0.793893250109401
"scipy:issue_post:nonmember-scipy:pr_post:nonmember" "3W: Types x Author Groups x Project" 6.28818262168556 0.000000000321203952324822 0.000000000740735645157243
"scipy:issue_reply:member-scipy:pr_reply:member" "3W: Types x Author Groups x Project" -30.4254572854835 0 0
"scipy:issue_reply:nonmember-scipy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -0.383280804402162 0.701511570415917 0.7478378061981
"numpy:issue_post:member-numpy:issue_post:nonmember" "3W: Types x Author Groups x Project" -5.45426174952453 0.00000004917671980742 0.00000010103580614979
"numpy:issue_reply:member-numpy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -31.1580972425041 0 0
"numpy:pr_post:member-numpy:pr_post:nonmember" "3W: Types x Author Groups x Project" -1.21100177961662 0.22589472265142 0.263155707831035
"numpy:pr_reply:member-numpy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -3.78022837559541 0.000156684573075161 0.000245907732742961
"numpy:issue_post:member-numpy:issue_reply:member" "3W: Types x Author Groups x Project" -2.30645537838997 0.0210852006895599 0.0287063575653044
"numpy:issue_post:nonmember-numpy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -13.8426316661237 0 0
"numpy:pr_post:member-numpy:pr_reply:member" "3W: Types x Author Groups x Project" -23.6338984237044 0 0
"numpy:pr_post:nonmember-numpy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -15.3451660721375 0 0
"numpy:issue_post:member-numpy:pr_post:member" "3W: Types x Author Groups x Project" 1.82150399616012 0.0685302797799037 0.0890105932773461
"numpy:issue_post:nonmember-numpy:pr_post:nonmember" "3W: Types x Author Groups x Project" 5.82500045133805 0.00000000571124458836891 0.0000000126543262448174
"numpy:issue_reply:member-numpy:pr_reply:member" "3W: Types x Author Groups x Project" -32.5414900959674 0 0
"numpy:issue_reply:nonmember-numpy:pr_reply:nonmember" "3W: Types x Author Groups x Project" 3.87757759794459 0.000105501683058229 0.000167911129374364
"sphinx.gallery:issue_post:member-sphinx.gallery:issue_post:nonmember" "3W: Types x Author Groups x Project" -2.28745391997066 0.0221693421339042 0.0298230435848949
"sphinx.gallery:issue_reply:member-sphinx.gallery:issue_reply:nonmember" "3W: Types x Author Groups x Project" -5.94293866598596 0.00000000279957212967474 0.00000000632703301306492
"sphinx.gallery:pr_post:member-sphinx.gallery:pr_post:nonmember" "3W: Types x Author Groups x Project" -0.64088120922097 0.52159986524959 0.566738315126959
"sphinx.gallery:pr_reply:member-sphinx.gallery:pr_reply:nonmember" "3W: Types x Author Groups x Project" 0.393305690782063 0.694093715595161 0.746977046307173
"sphinx.gallery:issue_post:member-sphinx.gallery:issue_reply:member" "3W: Types x Author Groups x Project" -1.01042308593762 0.312292631949665 0.35645522636679
"sphinx.gallery:issue_post:nonmember-sphinx.gallery:issue_reply:nonmember" "3W: Types x Author Groups x Project" -1.63259382728114 0.102554450330552 0.13020958300396
"sphinx.gallery:pr_post:member-sphinx.gallery:pr_reply:member" "3W: Types x Author Groups x Project" -3.88124870394898 0.000103921498580295 0.000167758990565333
"sphinx.gallery:pr_post:nonmember-sphinx.gallery:pr_reply:nonmember" "3W: Types x Author Groups x Project" -1.54122582867736 0.12326183339653 0.151342807944836
"sphinx.gallery:issue_post:member-sphinx.gallery:pr_post:member" "3W: Types x Author Groups x Project" -0.00000000000000339333877696387 0.999999999999997 0.999999999999997
"sphinx.gallery:issue_post:nonmember-sphinx.gallery:pr_post:nonmember" "3W: Types x Author Groups x Project" 1.5590161625538 0.118992554801383 0.147759985632487
"sphinx.gallery:issue_reply:member-sphinx.gallery:pr_reply:member" "3W: Types x Author Groups x Project" -4.71670170621218 0.00000239698720738701 0.00000436870249088278
"sphinx.gallery:issue_reply:nonmember-sphinx.gallery:pr_reply:nonmember" "3W: Types x Author Groups x Project" 2.63433130334413 0.00843031844204178 0.0120585567588699
