"model" "t_stats" "p_value" "p_val_adjusted"
"scikit.learn:pr_post:member-scikit.learn:pr_reply:member" "3W: Types x Author Groups x Project" -12.6166070564563 0 0
"scikit.learn:pr_post:nonmember-scikit.learn:pr_reply:nonmember" "3W: Types x Author Groups x Project" -13.3248172110563 0 0
"scikit.learn:issue_post:member-scikit.learn:pr_post:member" "3W: Types x Author Groups x Project" -1.87537045882926 0.0607417762615625 0.0940249413363913
"scikit.learn:issue_post:nonmember-scikit.learn:pr_post:nonmember" "3W: Types x Author Groups x Project" -1.35197383870313 0.176383684459287 0.243065321267066
"scikit.learn:issue_reply:member-scikit.learn:pr_reply:member" "3W: Types x Author Groups x Project" -6.37294282308869 0.000000000185435000688017 0.000000000616298678757232
"scikit.learn:issue_reply:nonmember-scikit.learn:pr_reply:nonmember" "3W: Types x Author Groups x Project" -3.78762114226894 0.000152096532655577 0.00036567889766128
"scikit.image:issue_post:member-scikit.image:issue_post:nonmember" "3W: Types x Author Groups x Project" -1.23834230820184 0.215589162491785 0.290018754304425
"scikit.image:issue_reply:member-scikit.image:issue_reply:nonmember" "3W: Types x Author Groups x Project" -1.25071684103433 0.211037803922825 0.28731652823228
"scikit.image:pr_post:member-scikit.image:pr_post:nonmember" "3W: Types x Author Groups x Project" -7.14948443901938 0.000000000000871080985120898 0.00000000000298279246420186
"scikit.image:pr_reply:member-scikit.image:pr_reply:nonmember" "3W: Types x Author Groups x Project" -1.97166493273061 0.0486478693259562 0.0774254821666627
"scikit.image:issue_post:member-scikit.image:issue_reply:member" "3W: Types x Author Groups x Project" -7.6204189982149 0.0000000000000253130849614536 0.0000000000000986337448498018
"scikit.image:issue_post:nonmember-scikit.image:issue_reply:nonmember" "3W: Types x Author Groups x Project" -7.29212940240178 0.000000000000305089287166993 0.00000000000107734654530844
"scikit.image:pr_post:member-scikit.image:pr_reply:member" "3W: Types x Author Groups x Project" -8.90508506129013 0 0
"scikit.image:pr_post:nonmember-scikit.image:pr_reply:nonmember" "3W: Types x Author Groups x Project" -0.570634921299186 0.568247141537544 0.667673229431985
"scikit.image:issue_post:member-scikit.image:pr_post:member" "3W: Types x Author Groups x Project" -3.25255416348705 0.00114372795653228 0.00239335664978051
"scikit.image:issue_post:nonmember-scikit.image:pr_post:nonmember" "3W: Types x Author Groups x Project" -8.12981799230618 0.000000000000000444089209850063 0.00000000000000179221716832347
"scikit.image:issue_reply:member-scikit.image:pr_reply:member" "3W: Types x Author Groups x Project" -4.00915894203485 0.0000609353930949297 0.000163945224279216
"scikit.image:issue_reply:nonmember-scikit.image:pr_reply:nonmember" "3W: Types x Author Groups x Project" -3.98138180396274 0.0000685157896196387 0.000180053121558585
"matplotlib:issue_post:member-matplotlib:issue_post:nonmember" "3W: Types x Author Groups x Project" -0.870598650429953 0.38397333361569 0.484975590317039
"matplotlib:issue_reply:member-matplotlib:issue_reply:nonmember" "3W: Types x Author Groups x Project" -1.84576798095764 0.0649259016039281 0.0991436065032956
"matplotlib:pr_post:member-matplotlib:pr_post:nonmember" "3W: Types x Author Groups x Project" -0.866412950564629 0.386263744500297 0.484975590317039
"matplotlib:pr_reply:member-matplotlib:pr_reply:nonmember" "3W: Types x Author Groups x Project" -1.6628728641195 0.0963378872893779 0.143239227153943
"matplotlib:issue_post:member-matplotlib:issue_reply:member" "3W: Types x Author Groups x Project" -7.3694845710124 0.000000000000171196390397199 0.000000000000624038455318823
"matplotlib:issue_post:nonmember-matplotlib:issue_reply:nonmember" "3W: Types x Author Groups x Project" -9.98067227309836 0 0
"matplotlib:pr_post:member-matplotlib:pr_reply:member" "3W: Types x Author Groups x Project" -11.4451235973323 0 0
"matplotlib:pr_post:nonmember-matplotlib:pr_reply:nonmember" "3W: Types x Author Groups x Project" -8.93814024414849 0 0
"matplotlib:issue_post:member-matplotlib:pr_post:member" "3W: Types x Author Groups x Project" -0.563993834504757 0.572758328138803 0.667673229431985
"matplotlib:issue_post:nonmember-matplotlib:pr_post:nonmember" "3W: Types x Author Groups x Project" -0.529766200229926 0.596274042499094 0.687540477575486
"matplotlib:issue_reply:member-matplotlib:pr_reply:member" "3W: Types x Author Groups x Project" -2.93337284355713 0.00335300968580055 0.00676589454456181
"matplotlib:issue_reply:nonmember-matplotlib:pr_reply:nonmember" "3W: Types x Author Groups x Project" -2.73404515243871 0.00625614647249484 0.011982111040541
"mayavi:issue_post:member-mayavi:issue_post:nonmember" "3W: Types x Author Groups x Project" -1.5643393765429 0.117737889465419 0.166304768869905
"mayavi:issue_reply:member-mayavi:issue_reply:nonmember" "3W: Types x Author Groups x Project" -1.40357557868641 0.160445271526768 0.223831057808948
"mayavi:pr_post:member-mayavi:pr_post:nonmember" "3W: Types x Author Groups x Project" -0.519433961201701 0.60345815370646 0.688795670392222
"mayavi:pr_reply:member-mayavi:pr_reply:nonmember" "3W: Types x Author Groups x Project" -2.07031728607057 0.0384226418707427 0.0629240366868685
"mayavi:issue_post:member-mayavi:issue_reply:member" "3W: Types x Author Groups x Project" -1.88053468129257 0.0600352443581771 0.0940249413363913
"mayavi:issue_post:nonmember-mayavi:issue_reply:nonmember" "3W: Types x Author Groups x Project" -2.88989328775568 0.00385372619832602 0.00763984316510247
"mayavi:pr_post:member-mayavi:pr_reply:member" "3W: Types x Author Groups x Project" -2.27741789476949 0.0227612824997077 0.0401878894135463
"mayavi:pr_post:nonmember-mayavi:pr_reply:nonmember" "3W: Types x Author Groups x Project" -3.39688932778854 0.000681565261259509 0.00151013479455538
"mayavi:issue_post:member-mayavi:pr_post:member" "3W: Types x Author Groups x Project" -0.0694719777269052 0.944613937282291 0.95304799029374
"mayavi:issue_post:nonmember-mayavi:pr_post:nonmember" "3W: Types x Author Groups x Project" 1.06721177972116 0.285876214426839 0.374092981097774
"mayavi:issue_reply:member-mayavi:pr_reply:member" "3W: Types x Author Groups x Project" -0.19310853026467 0.846873972212504 0.89436223233657
"mayavi:issue_reply:nonmember-mayavi:pr_reply:nonmember" "3W: Types x Author Groups x Project" -1.56558769362638 0.117445172867502 0.166304768869905
"pandas:issue_post:member-pandas:issue_post:nonmember" "3W: Types x Author Groups x Project" -1.06247855183865 0.288018489871738 0.374092981097774
"pandas:issue_reply:member-pandas:issue_reply:nonmember" "3W: Types x Author Groups x Project" -5.45967749856518 0.0000000477000243748193 0.00000014972507650985
"pandas:pr_post:member-pandas:pr_post:nonmember" "3W: Types x Author Groups x Project" -4.60132333533372 0.00000419815144225844 0.0000124839766572422
"pandas:pr_reply:member-pandas:pr_reply:nonmember" "3W: Types x Author Groups x Project" 2.5772113914729 0.00996010180165174 0.0184506803866663
"pandas:issue_post:member-pandas:issue_reply:member" "3W: Types x Author Groups x Project" -9.8771308883922 0 0
"pandas:issue_post:nonmember-pandas:issue_reply:nonmember" "3W: Types x Author Groups x Project" -15.0148532126898 0 0
"pandas:pr_post:member-pandas:pr_reply:member" "3W: Types x Author Groups x Project" -18.343853392019 0 0
"pandas:pr_post:nonmember-pandas:pr_reply:nonmember" "3W: Types x Author Groups x Project" -8.31680018172969 0 0
"pandas:issue_post:member-pandas:pr_post:member" "3W: Types x Author Groups x Project" 4.59462000352676 0.00000433538576727344 0.0000125615023513307
"pandas:issue_post:nonmember-pandas:pr_post:nonmember" "3W: Types x Author Groups x Project" 0.434143740925878 0.664184063774889 0.735811756927083
"pandas:issue_reply:member-pandas:pr_reply:member" "3W: Types x Author Groups x Project" -3.83071335759824 0.000127772285375194 0.000313875396682542
"pandas:issue_reply:nonmember-pandas:pr_reply:nonmember" "3W: Types x Author Groups x Project" 3.93886328280674 0.0000818685622614446 0.000210253353080528
"scipy:issue_post:member-scipy:issue_post:nonmember" "3W: Types x Author Groups x Project" -2.99367766554514 0.00275636976476967 0.00566308697125405
"scipy:issue_reply:member-scipy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -5.59892805681598 0.0000000215681275061996 0.0000000696342402343017
"scipy:pr_post:member-scipy:pr_post:nonmember" "3W: Types x Author Groups x Project" -3.89113005599362 0.0000997784300669213 0.000250554724390269
"scipy:pr_reply:member-scipy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -2.10332472828893 0.0354373932700129 0.0588886094045803
"scipy:issue_post:member-scipy:issue_reply:member" "3W: Types x Author Groups x Project" -8.77683621729142 0 0
"scipy:issue_post:nonmember-scipy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -11.8204932338657 0 0
"scipy:pr_post:member-scipy:pr_reply:member" "3W: Types x Author Groups x Project" -16.5744045358605 0 0
"scipy:pr_post:nonmember-scipy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -10.3592727451411 0 0
"scipy:issue_post:member-scipy:pr_post:member" "3W: Types x Author Groups x Project" -2.26060325078351 0.0237838362748255 0.0413472846008505
"scipy:issue_post:nonmember-scipy:pr_post:nonmember" "3W: Types x Author Groups x Project" -2.86445162515321 0.00417731954361278 0.00813857083496972
"scipy:issue_reply:member-scipy:pr_reply:member" "3W: Types x Author Groups x Project" -9.00739615298217 0 0
"scipy:issue_reply:nonmember-scipy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -4.30258015899998 0.0000168820563335448 0.000047691809142264
"numpy:issue_post:member-numpy:issue_post:nonmember" "3W: Types x Author Groups x Project" 0.134690375520695 0.892856683067467 0.921038625564757
"numpy:issue_reply:member-numpy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -2.46980657152102 0.0135186127445583 0.0246387619376628
"numpy:pr_post:member-numpy:pr_post:nonmember" "3W: Types x Author Groups x Project" -0.200311214429694 0.841237192442425 0.89436223233657
"numpy:pr_reply:member-numpy:pr_reply:nonmember" "3W: Types x Author Groups x Project" 0.499891143253595 0.617151728909798 0.697381453668071
"numpy:issue_post:member-numpy:issue_reply:member" "3W: Types x Author Groups x Project" -9.88466028017529 0 0
"numpy:issue_post:nonmember-numpy:issue_reply:nonmember" "3W: Types x Author Groups x Project" -13.272460004639 0 0
"numpy:pr_post:member-numpy:pr_reply:member" "3W: Types x Author Groups x Project" -16.960392389557 0 0
"numpy:pr_post:nonmember-numpy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -11.6762587815786 0 0
"numpy:issue_post:member-numpy:pr_post:member" "3W: Types x Author Groups x Project" -1.99099018613319 0.0464819661831848 0.0750351739814269
"numpy:issue_post:nonmember-numpy:pr_post:nonmember" "3W: Types x Author Groups x Project" -2.20359037729465 0.0275531646336651 0.0464702627403605
"numpy:issue_reply:member-numpy:pr_reply:member" "3W: Types x Author Groups x Project" -9.4817476593835 0 0
"numpy:issue_reply:nonmember-numpy:pr_reply:nonmember" "3W: Types x Author Groups x Project" -5.03620302938357 0.000000474856892695996 0.00000145023861823372
"sphinx.gallery:issue_post:member-sphinx.gallery:issue_post:nonmember" "3W: Types x Author Groups x Project" 0.563439822049694 0.573135427034536 0.667673229431985
"sphinx.gallery:issue_reply:member-sphinx.gallery:issue_reply:nonmember" "3W: Types x Author Groups x Project" -0.358660081404031 0.719849394522109 0.789737685252411
"sphinx.gallery:pr_post:member-sphinx.gallery:pr_post:nonmember" "3W: Types x Author Groups x Project" -1.62436293699533 0.104298372286446 0.151098923953441
"sphinx.gallery:pr_reply:member-sphinx.gallery:pr_reply:nonmember" "3W: Types x Author Groups x Project" 0.129974915720629 0.896586272673657 0.921038625564757
"sphinx.gallery:issue_post:member-sphinx.gallery:issue_reply:member" "3W: Types x Author Groups x Project" -3.57130235255808 0.000355210550499585 0.00083622483763444
"sphinx.gallery:issue_post:nonmember-sphinx.gallery:issue_reply:nonmember" "3W: Types x Author Groups x Project" -4.12649143137743 0.0000368339721639188 0.00010151802084202
"sphinx.gallery:pr_post:member-sphinx.gallery:pr_reply:member" "3W: Types x Author Groups x Project" -3.45562947687674 0.000549009441465076 0.00124076133771107
"sphinx.gallery:pr_post:nonmember-sphinx.gallery:pr_reply:nonmember" "3W: Types x Author Groups x Project" -0.180999398241529 0.856368048347264 0.896014717252229
"sphinx.gallery:issue_post:member-sphinx.gallery:pr_post:member" "3W: Types x Author Groups x Project" -0.297596930656593 0.766010817475227 0.832300215141353
"sphinx.gallery:issue_post:nonmember-sphinx.gallery:pr_post:nonmember" "3W: Types x Author Groups x Project" -2.20940287260642 0.0271466314092144 0.0464702627403605
"sphinx.gallery:issue_reply:member-sphinx.gallery:pr_reply:member" "3W: Types x Author Groups x Project" 1.22349125929063 0.221144203546478 0.2939917058912
"sphinx.gallery:issue_reply:nonmember-sphinx.gallery:pr_reply:nonmember" "3W: Types x Author Groups x Project" 1.03345711515104 0.301390029727684 0.387012197263958
